yyyymm,Mkt_RF,SMB,HML,RMW,CMA,RF,LID,MOM,R_MKT,R_ME,R_IA,R_ROE,R_EG,PEAD,FIN,SMB_SY,MGMT,PERF,HML_Novy,UMD_Novy,PMU_Novy
200811,-7.86,-3.89,-6.31,4.53,2.74,0.03,-5.612372,7.17,-7.7501,-5.2005,0.5052,3.5072,2.1843,0.63,5.27,-2.1409345,1.7041361,11.7116249,-0.036539552,0.057951336,0.039827751
200812,1.74,3.29,0.15,0.06,-1.49,0,-8.526836,-5.09,1.7427,3.6023,-2.345,-0.5559,-0.8413,-1.78,0.09,3.3825283,0.6459059,-2.0510333,0.007352013,-0.030301053,0.007749866
200901,-8.12,-2.13,-11.29,0.18,-1.16,0,7.956306,-2.18,-8.1113,-2.9342,-0.9212,-0.7728,2.4051,0.67,-2.64,-0.9215459,-6.8253034,10.1565773,-0.030185417,0.005677794,-0.001945429
200902,-10.1,-1.33,-6.95,1.19,-1.02,0.01,-0.349384,4.41,-10.0887,-1.5731,-1.854,2.9625,2.8875,1.93,0.27,-0.4356365,-1.6991424,11.125048,-0.032135631,0.044632092,0.031982179
200903,8.95,0.68,3.48,-2.52,-2.24,0.02,-4.510556,-11.87,8.9657,0.9871,-0.448,-3.3694,0.0801,-0.63,2.04,1.6603359,1.7553976,-5.9077928,0.009440835,-0.087649659,-0.012914951
200904,10.18,7.13,5.36,1.31,0.13,0.01,-4.577754,-34.3,10.1649,7.2758,3.5028,-13.8308,-1.7967,-9.03,1.19,6.3588895,-1.3631719,-21.4543975,0.039843105,-0.233779707,-0.046224652
200905,5.21,-2.32,0.27,-0.78,-2.16,0,1.960292,-12.49,5.2051,-1.3216,-2.419,-3.3204,-0.5583,-3.24,-5.46,-1.4107209,-4.8459825,-7.5219713,0.029016589,-0.118488794,-0.025742516
200906,0.43,2.29,-2.73,-1.41,-0.33,0.01,-1.331055,5.48,0.4284,3.7486,0.5164,0.8967,2.4952,-2.3,-0.39,2.4716102,1.305388,4.7378602,-0.014560303,0.016742013,0.025972276
200907,7.72,2.39,4.84,-0.46,3.14,0.01,-1.618796,-5.55,7.7115,1.6912,1.9782,-4.8912,-1.0287,1.49,0.41,1.276602,1.840728,-8.417254,0.031105091,-0.037633722,-0.017206281
200908,3.33,-0.09,7.63,-3.02,3.34,0.01,-5.48598,-9.07,3.3288,0.8676,2.2617,-2.6003,-1.5815,-0.07,1.04,-0.5316569,0.1631062,-9.7095586,0.05037337,-0.072316402,-0.022169665
200909,4.08,2.73,1.04,1.31,0.35,0.01,6.468133,-4.79,4.0766,2.4647,-1.155,-2.8169,-2.6301,0.9,-4.82,1.165481,-1.4151563,-2.7339017,0.021596714,-0.026935885,-0.018559165
200910,-2.59,-4.93,-4.2,4.17,-1.49,0,7.777541,2.61,-2.5535,-4.6122,-0.2446,3.9462,2.9368,-1.86,6.2,-3.4369125,1.6927551,6.3346486,-0.014929013,0.018997113,0.034425183
200911,5.56,-2.68,-0.34,1,0.12,0,-0.261975,0.3,5.5694,-2.3833,-0.3542,1.0291,-0.3254,0.03,-2.01,-3.8602294,0.0363263,0.0299181,0.00321081,0.020023133,-0.00603652
200912,2.75,6.23,-0.17,1.02,-0.09,0.01,2.296615,3.01,2.746,4.8164,-0.183,-1.8549,-0.126,-0.88,-4.34,5.9065637,-0.7740542,2.4253621,-0.0005972,0.012913066,-0.016873767
201001,-3.36,0.34,0.43,-1.27,0.46,0,-1.105698,-5.4,-3.3494,0.3752,0.6789,-1.067,-0.6848,-2.51,0.93,-0.4492266,0.567079,-7.6663948,0.007392638,-0.022061633,-0.002737133
201002,3.4,1.51,3.23,-0.27,1.43,0,-0.755895,3.74,3.3894,1.5236,0.7583,-1.0406,-0.5169,-0.12,0.8,1.2477989,1.0960918,1.0113192,0.014163903,0.022440433,-0.002748327
201003,6.31,1.85,2.21,-0.65,1.69,0.01,-6.257515,3.76,6.3066,2.0221,1.5744,-0.5104,-1.6988,-1.46,1.56,1.8103168,-0.9944807,-0.7991924,0.021139368,0.015423822,-0.011815873
201004,2,4.98,2.89,0.69,1.72,0.01,1.020015,3.16,1.9985,3.9038,3.0529,-2.4888,-2.3485,-1.74,1.76,3.9775423,0.9144115,-3.6411668,0.010579497,0.016921048,-0.004482561
201005,-7.89,0.04,-2.44,1.3,-0.22,0.01,-2.806075,-0.25,-7.8914,0.048,-0.4512,2.7156,1.7369,1.24,2.47,0.9450543,0.7520862,3.1856699,-0.028445591,-0.009202075,0.016737647
201006,-5.57,-2.47,-4.7,-0.16,-1.55,0.01,0.383754,-2.76,-5.5538,-2.3714,-2.4633,1.3288,1.9251,2.68,0.57,-2.3583855,-1.0836559,3.1924342,-0.031312292,-0.012966511,0.018694138
201007,6.93,0.14,-0.33,0.27,1.98,0.01,2.483923,1.88,6.9088,0.4811,1.2242,-0.8529,0.3616,-1.81,-0.19,-0.5626887,1.6958859,-0.639466,0.006397319,0.010879858,-0.009661105
201008,-4.77,-3.13,-1.93,0.58,-1.61,0.01,2.131701,-0.06,-4.7708,-3.6375,-1.777,-0.5599,-0.6431,2.52,-0.23,-3.2385384,-2.0008919,3.8479168,-0.012320267,0.014136539,0.014073452
201009,9.54,3.77,-3.18,-0.18,0.36,0.01,3.255056,1.41,9.5407,3.9473,1.1549,0.5214,0.0482,2.57,-2.57,4.4045575,-0.6255426,2.674352,0.003241242,0.009073163,0.003282779
201010,3.88,0.86,-2.51,1.31,-0.33,0.01,2.321111,1.58,3.8695,0.6884,-0.0068,0.6453,0.4416,1.64,0.28,-0.0069569,0.0061,3.0906032,-0.000208709,0.005159227,0.000659371
201011,0.6,3.64,-0.92,0.38,1.63,0.01,2.746053,2.66,0.5951,3.6487,1.8594,-0.0799,-0.6138,0.37,0.27,2.4681309,0.7923431,1.9928404,-0.018804463,0.018977928,0.010594138
201012,6.82,0.99,3.76,-3.52,3.21,0.01,3.149786,-3.03,6.8138,0.4459,3.0261,-3.6697,-2.2435,-2.18,-2.69,1.0461561,-0.5846706,-8.1114329,0.016701438,-0.01481627,-0.019483812
201101,1.99,-2.38,0.75,-0.65,0.77,0.01,1.095875,-0.29,1.9892,-2.0115,1.316,0.5566,-1.3438,-0.05,1.7,-1.6579433,-0.0944539,-0.9755368,0.004063294,-0.003157712,-0.007309618
201102,3.49,1.65,1.27,-1.93,0.87,0.01,-0.994366,1.99,3.4831,1.3916,1.4321,-1.6578,-0.8146,2.19,-0.02,2.6650215,0.2852363,1.3009162,0.00229316,0.017642081,-0.004026755
201103,0.46,2.63,-1.85,1.8,-0.05,0.01,0.23169,3.4,0.4538,1.8477,-0.1252,-0.9511,0.2831,0.76,-0.43,1.4992091,-0.5904374,3.0200156,-0.011909921,0.019651065,0.015431913
201104,2.9,-0.5,-2.49,1.11,-0.86,0,-5.799259,0.04,2.8954,-0.8838,-0.9692,1.5871,1.0881,-0.36,0.92,-0.8099881,2.2595352,3.8810829,-0.004694312,0.010726953,0.00720755
201105,-1.27,-0.71,-2,1.91,-1.5,0,-2.730839,-0.62,-1.2689,-0.8715,-1.0161,0.1308,1.3797,-0.54,1.96,-0.9513398,0.7838229,1.2946321,-0.007341173,0.002057539,0.015759097
201106,-1.75,0.13,-0.39,2.43,-1.51,0,-2.120148,1.78,-1.7419,0.4603,-1.152,2.8109,1.0009,1.13,3.06,0.1482928,0.3878224,2.1089058,-0.00710522,0.014037781,0.019319475
201107,-2.35,-1.2,-0.9,2.68,-1.82,0,0.095464,0.18,-2.3488,-1.7742,-2.0383,0.7348,0.659,0.72,1.86,-0.6865029,-0.7614022,2.5898013,-0.010949645,-0.000620062,0.001380044
201108,-5.99,-3.2,-2.36,3.3,-0.38,0.01,-3.777979,-0.28,-5.9801,-3.7196,-1.3168,2.562,2.7195,1.06,2.61,-3.0899782,1.4635755,5.9588594,-0.018467143,0.006245,0.023632893
201109,-7.59,-3.65,-1.72,2.04,0.26,0,-6.395509,-2.42,-7.5695,-4.7805,0.0766,-0.7641,4.899,7.71,4.9,-3.7540558,3.6890292,4.8574838,-0.020550479,-0.02151809,0.017115052
201110,11.35,3.46,0.1,-2.16,-0.86,0,7.642923,-1.43,11.3324,5.1816,-0.5881,2.1402,-1.7028,-5.38,-3.46,4.4539568,-1.1007334,-3.8147269,-0.006173499,-0.00055036,-0.009908916
201111,-0.28,-0.27,-0.45,1.86,1.49,0,2.778666,3.84,-0.2796,-1.1335,1.5253,0.5804,1.2147,2.74,3.31,-0.301764,1.8696253,3.5845647,-0.013893909,0.037537988,0.011079266
201112,0.74,-0.33,1.63,0.98,2.51,0,-0.935414,1.81,0.7396,0.1225,2.6695,1.1493,-0.6067,-0.46,2.12,0.6812262,2.0085025,-1.1518511,0.001656168,0.01628231,-0.000899121
201201,5.05,2.05,-0.97,-2.01,-1.43,0,-2.597123,-7.91,5.0531,2.7843,-0.574,-0.6313,-1.312,-1.39,-5.03,1.6321193,-4.0850458,-6.41423,0.008853268,-0.063134555,-0.013413878
201202,4.42,-1.7,0.43,-0.48,-0.01,0,2.392422,-0.29,4.4179,-0.6734,0.0789,0.2919,0.0126,0.23,-1.12,-0.3907284,-2.0453145,-1.9826725,-0.00171365,-0.020049235,-0.003310872
201203,3.11,-0.47,1.14,-0.54,0.74,0,-6.113644,1.3,3.1094,0.7124,1.4304,1.658,1.7917,0.84,0.57,0.1751925,1.6750806,-2.0597464,-0.002539032,0.007803891,-0.000628204
201204,-0.85,-0.55,-0.78,1.3,0.65,0,0.326061,3.75,-0.8431,-1.1503,0.9546,1.001,-0.3668,-0.45,0.63,-1.4267255,1.1369702,2.9177422,-0.00662541,0.032201623,0.002692552
201205,-6.19,-0.12,-1.06,2.08,2.32,0.01,-0.472821,6.49,-6.171,-0.8859,2.6812,1.6158,2.338,-1.22,3.15,-0.6438245,1.6509294,4.9278555,-0.021663713,0.048137033,0.00976509
201206,3.89,0.84,0.62,-1.09,0.46,0,1.324631,-1.06,3.8919,1.492,1.0221,-1.7624,0.3348,1.92,-0.23,1.58377,2.1698565,-2.3585578,0.005674782,-0.007620602,-0.009195256
201207,0.79,-2.8,-0.02,1.1,0.09,0,-0.582316,3.04,0.7869,-3.0753,0.5147,1.5424,0.9827,1.12,2.88,-2.4844395,-1.5704907,2.345253,-0.002261881,0.020833273,-0.004147576
201208,2.55,0.45,1.3,-1.33,-0.86,0.01,-0.614965,-2.37,2.5482,1.4133,-1.4557,-0.497,-0.4037,-2.47,-2.54,1.6592272,-1.9874322,-2.509883,0.016271957,-0.010627985,-0.005785141
201209,2.73,0.61,1.6,-1.49,1.54,0.01,-2.445392,-1.14,2.7322,1.1788,1.1835,0.1886,-0.6612,0.09,-0.83,1.0163486,1.162957,-2.2208088,0.012700413,-0.006159583,-0.003652272
201210,-1.76,-0.9,3.59,-1.34,2.51,0.01,0.352816,0.14,-1.7522,0.2195,1.8577,0.4583,-3.7334,0.7,1.59,-0.2163566,2.2640205,-3.0765386,0.022957369,0.005838819,-0.00171689
201211,0.78,0.47,-0.84,0.6,0.84,0.01,-1.710294,0.49,0.7763,0.3564,0.8217,1.7154,0.152,0.72,-0.68,1.7496114,0.2060104,3.5003168,0.010983743,0.005438001,0.007496624
201212,1.18,1.91,3.51,-1.85,0.88,0.01,1.827545,-2.86,1.1755,2.4232,-0.8302,-1.9967,-2.6321,-0.8,-2.07,1.3208518,0.3933813,-3.5002374,0.024090854,-0.016463618,-0.00862428
201301,5.57,0.47,0.96,-1.93,1.42,0,-2.567376,-1.79,5.5689,0.1915,1.5404,-2.0971,-1.638,0.4,-1.09,0.5637372,3.4428066,-3.1431865,,,
201302,1.29,-0.25,0.11,-0.67,0.54,0,-0.822369,1.29,1.2861,-0.615,0.7541,0.1036,0.4262,1.62,3.09,0.0182177,1.6873907,-0.3627658,,,
201303,4.03,0.86,-0.19,0.14,1.37,0,0.640896,1.92,4.0339,1.0765,1.292,0.487,-1.161,0.82,0.9,0.4837688,1.1922426,-2.1108394,,,
201304,1.55,-2.25,0.45,0.27,0.37,0,-1.82782,0.22,1.5537,-2.8557,0.1152,-1.0136,-0.2819,-2.25,-0.03,-1.640406,0.8247348,-0.2793097,,,
201305,2.8,2.09,2.63,-1.97,-0.91,0,0.380257,-2.02,2.8026,3.5166,-1.6526,-0.3975,-1.4219,-0.12,-2.15,1.3962092,0.5525752,-2.5927051,,,
201306,-1.2,1.56,0.03,-0.38,0.01,0,-1.314133,0.52,-1.1911,0.7617,0.7006,-0.1341,0.5964,1.64,-0.01,0.7753259,1.7196644,-1.5936961,,,
201307,5.65,1.8,0.57,-1.35,0.52,0,0.307335,1.76,5.6434,2.0945,0.6474,-0.4746,-1.124,1.36,-1.35,2.5527945,0.3657025,-1.8764054,,,
201308,-2.71,-0.06,-2.69,0.66,-2.16,0,1.378439,0.02,-2.7045,-0.208,-1.7841,0.5497,0.1587,0.68,-2.94,-0.1581515,-3.1220064,1.0243683,,,
201309,3.77,2.66,-1.22,-0.58,-1.4,0,-2.251144,3.06,3.7668,2.4397,-0.7254,-0.9967,-1.0133,1.25,-2.27,2.7468919,-1.3322198,1.38915,,,
201310,4.18,-1.51,1.25,2.78,0.92,0,-2.143967,0.08,4.1692,-1.6177,1.1611,1.337,0.7823,0.76,5.53,-1.8557335,0.6442317,3.4657869,,,
201311,3.13,1.4,0.32,0.14,0.05,0,-2.736205,0.44,3.1222,1.9293,0.0148,1.5473,1.2051,-0.63,0.79,1.7488433,0.9957161,-1.314879,,,
201312,2.81,-0.44,-0.02,-0.46,0.08,0,-0.246068,0.02,2.8046,-0.4381,0.7392,-0.1739,-1.7385,-0.91,0.16,0.5739724,-0.3993397,-0.7755482,,,
201401,-3.32,0.58,-2.07,-3.88,-1.43,0,3.02487,1.71,-3.318,0.3303,-0.2918,-2.3112,0.3524,0.1,-5.44,-0.056259,-2.8505979,-1.5802679,,,
201402,4.65,0.16,-0.31,-0.23,-0.47,0,-0.82165,2.07,4.6489,-0.3064,-0.6297,-1.4762,-0.0343,1.51,-0.74,0.4113114,-0.2438791,0.6478154,,,
201403,0.43,-1.13,4.93,2.13,1.98,0,3.065507,-3.29,0.4309,-0.1623,2.7038,1.7701,1.5414,-1.52,5.74,-0.4958916,3.2246896,-0.1080618,,,
201404,-0.19,-4.14,1.17,3.48,1.04,0,-5.016133,-3.89,-0.1877,-4.6866,0.8015,1.0756,0.6894,-3.05,2.4,-3.7372224,0.4252223,-0.038278,,,
201405,2.06,-1.89,-0.13,0.05,-1.01,0,0.2851,0.87,2.0616,-2.0366,-0.9378,-0.6562,0.5021,0.62,-0.39,-1.4065286,-1.8046375,0.1625169,,,
201406,2.61,3.1,-0.7,-1.89,-1.98,0,1.490484,0.69,2.6074,2.2426,-2.6584,-2.5842,0.2626,0.06,-4.06,1.8037551,-2.3029315,-2.233551,,,
201407,-2.04,-4.29,0.03,0.88,0.51,0,-0.350738,-0.12,-2.0374,-3.5626,0.7158,1.1954,1.2346,0.59,1.34,-3.3938857,1.2638142,0.5864125,,,
201408,4.24,0.31,-0.45,-0.63,-0.69,0,0.314883,0.82,4.2326,0.4495,-0.9247,0.1376,0.233,-1.1,-1.39,1.5614087,-0.9449883,-0.6436812,,,
201409,-1.97,-3.73,-1.34,1.31,-0.49,0,2.115319,0.5,-1.9679,-3.1032,-0.3111,3.0595,2.1813,3.02,2.69,-2.3342385,1.7398964,1.2712093,,,
201410,2.52,3.72,-1.81,-0.55,-0.09,0,4.231954,-0.06,2.5083,3.6349,0.5516,1.7167,-0.1556,2.48,1.51,5.4644645,1.000981,0.1388038,,,
201411,2.55,-2.28,-3.09,1.5,0.26,0,0.236985,0.69,2.5472,-2.0077,0.2967,2.4103,0.4488,1.82,2.96,-1.4832506,2.293811,5.5287254,,,
201412,-0.06,2.86,2.27,-1.22,0.96,0,2.576999,1.12,-0.0601,2.7686,0.4711,-0.652,0.2952,2.12,-0.84,1.9955949,1.1437426,-0.0035138,,,
201501,-3.11,-0.91,-3.58,1.6,-1.66,0,-1.673274,3.84,-3.1017,-1.5654,-1.0529,-0.3354,1.4077,-0.2,1.42,-2.7071346,-2.267783,5.0615617,,,
201502,6.13,0.31,-1.86,-1.1,-1.79,0,-0.040375,-2.82,6.1301,0.8189,-1.3982,0.0923,-0.8935,-2.28,-3.67,2.4454536,-1.238747,-3.0025672,,,
201503,-1.12,3.07,-0.37,0.09,-0.51,0,1.15765,2.74,-1.1028,2.8166,-0.2615,0.8324,-0.018,2.24,-0.64,2.1447211,-1.9165685,0.5963659,,,
201504,0.59,-3.06,1.82,0.02,-0.65,0,-0.442564,-7.27,0.5907,-3.7918,-0.8011,-2.1972,-0.2334,-3.38,0.56,-2.5993228,0.8177919,-4.1800189,,,
201505,1.36,0.82,-1.14,-1.78,-0.72,0,4.317894,5.82,1.3612,1.735,-0.612,1.4466,0.2893,-0.34,-0.51,1.4128976,-0.4976481,1.0770348,,,
201506,-1.53,2.89,-0.79,0.45,-1.57,0,2.902583,3.01,-1.5273,2.8606,-2.4461,1.2477,-0.6691,1.97,-0.34,3.0146863,-0.7182971,0.3874023,,,
201507,1.54,-4.58,-4.13,0.31,-2.46,0,0.671139,9.98,1.5462,-4.0769,-2.7366,4.3394,2.6044,5.75,0.98,-3.3970086,0.4191722,7.0582256,,,
201508,-6.04,0.24,2.77,0.69,1.24,0,-0.737752,-2.09,-6.0265,0.5025,1.1604,0.7607,0.2546,-0.1,1.93,-0.6840288,0.7253447,1.326857,,,
201509,-3.07,-2.8,0.56,1.8,-0.6,0,0.83445,5.22,-3.0702,-3.3863,0.3173,4.2461,3.4688,2.68,5.59,-2.284609,3.728377,7.9026008,,,
201510,7.75,-2.05,-0.46,0.86,0.55,0,-6.896217,-3.28,7.7465,-2.783,0.6276,-2.3746,1.0524,-1.4,-1.13,-2.2708242,2.401984,-0.6116477,,,
201511,0.56,3.29,-0.42,-2.71,-1.03,0,3.911356,2.28,0.562,3.4693,-0.5508,-1.7131,0.4729,1.11,-3.32,2.8850995,-0.2080294,-0.9790558,,,
201512,-2.17,-2.97,-2.61,0.45,0.03,0.01,-0.112737,3.36,-2.1658,-2.0882,0.328,2.9245,3.2155,0.01,1.39,-3.1398387,1.7458348,4.7068597,,,
201601,-5.77,-3.48,2.09,2.8,3.07,0.01,-3.221813,1.44,-5.756,-2.8219,2.7808,5.3238,4.792,0.76,10.11,-3.1991936,3.1513692,11.0203236,,,
201602,-0.07,0.85,-0.57,3.28,1.99,0.02,-3.051365,-4.38,-0.0738,0.4861,1.7188,2.0303,-0.1342,-3.67,3.01,-0.0619121,1.4588952,2.3668018,,,
201603,6.96,1.08,1.19,0.76,-0.04,0.02,-1.691726,-5.01,6.9541,1.0415,-0.7057,-2.124,-2.7595,-1.27,-0.81,0.0261446,-0.9720493,-4.9963854,,,
201604,0.91,1.22,3.28,-2.92,1.86,0.01,-0.757449,-6.02,0.9179,0.1063,1.2916,-7.2347,-5.2387,-2.86,-3.4,0.09708,-0.4983625,-10.8024702,,,
201605,1.78,-0.62,-1.66,-1.07,-2.49,0.01,1.802774,1.42,1.7718,-0.5063,-2.265,0.9582,2.2386,-2.71,-2.1,-0.3705109,-1.4277605,0.2108038,,,
201606,-0.05,0.44,-1.48,1.39,1.91,0.02,-1.520333,4.13,-0.0422,-0.3453,0.5038,0.2537,-0.874,3.26,2.1,-1.3743256,-0.5873802,4.5603776,,,
201607,3.95,2.49,-1.27,1.25,-1.19,0.02,2.87515,-3.34,3.9508,2.3329,-2.1967,-0.5197,2.2517,-1.05,-2.05,3.9388579,-0.2730178,-1.8868393,,,
201608,0.49,1.7,3.13,-1.88,-0.34,0.02,-0.656478,-3.49,0.497,0.9481,-0.193,-2.4067,-0.3863,-1.08,-0.75,2.5444126,1.8547385,-4.9411208,,,
201609,0.25,1.86,-1.23,-2.23,0.03,0.02,1.795254,0.19,0.2636,0.9906,0.2104,-3.1894,-0.9297,3.92,-3.09,1.3134363,-0.9429824,-2.1727865,,,
201610,-2.02,-4.04,4.12,0.96,0.28,0.02,1.078285,0.6,-2.0217,-3.41,0.8077,3.0288,2.0286,-1.36,4.25,-1.8152942,3.2443353,2.0008841,,,
201611,4.86,7.04,8.19,-0.21,3.69,0.01,-0.160345,-4.62,4.8631,6.4972,2.913,-1.1087,-2.5273,2.32,1.69,6.0455412,4.8980623,-7.6984654,,,
201612,1.81,0.39,3.56,1.23,-0.22,0.03,-1.654246,-0.26,1.8153,0.6248,-0.2604,1.53,0.8567,-1.68,4.51,1.692721,0.4533827,0.4858598,,,
201701,1.94,-1.43,-2.76,-0.5,-0.99,0.04,1.933228,-0.93,1.9357,-1.877,-2.0676,-1.3148,0.6337,-1.65,-3.99,,,,,,
201702,3.57,-2.21,-1.68,0.45,-1.83,0.04,-2.753203,-1.65,3.5594,-1.6847,-2.2535,2.0022,2.3822,-1.34,-0.39,,,,,,
201703,0.17,0.74,-3.32,0.62,-0.94,0.03,-3.521569,-1.02,0.1676,1.2369,-1.3076,1.8774,1.2449,1.66,-0.12,,,,,,
201704,1.09,0.47,-2.1,1.91,-1.6,0.05,-2.365847,0.48,1.086,0.576,-1.5408,1.0121,1.684,0.72,0.64,,,,,,
201705,1.06,-3.03,-3.78,0.95,-1.81,0.06,-3.71082,1.48,1.0602,-2.5609,-1.6597,1.3181,2.6917,1.5,0.72,,,,,,
201706,0.78,2.57,1.48,-2.25,0.01,0.06,3.106255,-0.09,0.7961,3.0378,-0.4684,-1.29,-1.8761,-0.65,-2.18,,,,,,
201707,1.87,-1.66,-0.24,-0.69,-0.12,0.07,3.180687,1.68,1.8657,-1.1248,-0.4301,1.5305,1.0232,0.86,-1.19,,,,,,
201708,0.16,-1.82,-2.09,0.15,-2.37,0.09,-2.556486,3.26,0.1617,-1.4073,-2.8366,0.4774,1.5301,1.21,-1.61,,,,,,
201709,2.51,4.77,3.12,-1.46,1.68,0.09,-1.450804,-1.32,2.5062,4.9092,3.1398,0.4383,-1.7976,-2.02,0.64,,,,,,
201710,2.25,-1.93,0.21,0.92,-3.24,0.09,-4.841161,4.27,2.2519,-1.3238,-3.2968,1.4109,2.8974,1.07,1.27,,,,,,
201711,3.12,-0.36,-0.08,3.19,-0.07,0.08,-1.537656,-0.87,3.1198,0.2046,-0.4945,1.8721,1.1391,0.58,4.99,,,,,,
201712,1.06,-1.07,0.05,0.74,1.66,0.09,4.981454,-1.54,1.0539,-0.9144,1.7407,0.3282,-1.0643,-0.13,-1.12,,,,,,
201801,5.57,-3.21,-1.33,-0.72,-1,0.12,1.107079,4.05,5.5753,-2.7664,-1.293,-1.2928,2.6001,2.99,-1.28,,,,,,
201802,-3.65,0.31,-1.07,0.54,-2.39,0.11,5.054294,3.58,-3.6478,0.1879,-1.6978,-0.764,4.466,1.3,-0.41,,,,,,
201803,-2.35,3.58,-0.23,-0.46,0,0.11,0.339819,-1.13,-2.2541,2.8131,-0.1096,0.1904,0.4646,-0.28,-2.27,,,,,,
201804,0.28,0.93,0.54,-2.43,1.27,0.14,1.24229,0.36,0.2834,0.2739,1.5854,-0.0276,-0.8116,-0.72,-2.13,,,,,,
201805,2.65,4.74,-3.18,-2.04,-1.47,0.14,7.039842,3.89,2.6466,4.7956,-1.214,-1.8397,2.242,1.77,-2.21,,,,,,
201806,0.48,0.81,-2.33,0.79,0.24,0.14,-2.196987,-2.35,0.4887,0.6253,-0.393,1.4276,0.0886,0.74,-1.19,,,,,,
201807,3.19,-1.93,0.47,1.56,0.35,0.16,-0.580345,-1.41,3.1964,-1.3092,0.4743,1.9927,1.4167,-2.27,3.9,,,,,,
201808,3.44,0.63,-3.99,-0.29,-2.65,0.16,-1.683727,5.29,3.4459,1.4355,-2.334,0.3874,4.1681,5.77,-1.51,,,,,,
201809,0.06,-2.49,-1.69,0.64,1.3,0.15,0.5194,0.04,0.0589,-3.0639,1.422,0.7044,0.973,0.72,0.13,,,,,,
201810,-7.68,-4.45,3.44,0.93,3.59,0.19,-7.000461,-2,-7.6474,-4.7588,4.1721,1.298,-0.7515,-0.21,3.85,,,,,,
201811,1.69,-0.77,0.27,-0.55,0.37,0.18,2.542913,-1.37,1.7054,-0.8371,-0.9318,0.6989,2.7812,1.13,-1.99,,,,,,
201812,-9.57,-2.88,-1.86,-0.02,0.22,0.2,-0.218687,2.11,-9.5432,-3.0732,-0.8158,1.3127,2.5216,1.32,0.65,,,,,,
201901,8.4,3.02,-0.45,-0.79,-1.51,0.21,3.099923,-8.68,8.4128,2.0385,-1.0008,-4.0017,-7.1495,,,,,,,,
201902,3.4,1.74,-2.68,0.12,-1.6,0.18,-0.710294,0.86,3.3944,1.1523,-2.5575,0.5466,1.2502,,,,,,,,
201903,1.1,-3.5,-4.1,0.89,-0.96,0.19,1.089794,2.21,1.1031,-3.3245,-0.5028,-0.0494,0.6624,,,,,,,,
201904,3.97,-1.17,2.14,1.61,-2.2,0.21,-0.625932,-2.97,3.9574,-0.233,-2.5445,2.0809,1.0648,,,,,,,,
201905,-6.94,-1.58,-2.34,-0.47,1.75,0.21,-0.572729,7.56,-6.9261,-1.9122,1.495,0.7321,0.169,,,,,,,,
201906,6.93,0.36,-0.72,0.91,-0.43,0.18,-2.669649,-2.3,6.9244,-0.5222,-0.3023,-0.1628,-0.3229,,,,,,,,
201907,1.19,-1.78,0.47,-0.07,0.37,0.19,0.527544,2.89,1.2207,-1.5982,0.1843,0.5193,1.3086,,,,,,,,
201908,-2.58,-3.23,-4.76,0.55,-0.69,0.16,-0.143081,6.92,-2.6036,-4.1989,-1.0035,1.8977,1.4881,,,,,,,,
201909,1.43,0.27,6.74,1.84,3.36,0.18,-4.937003,-6.81,1.4305,1.4387,2.9671,1.6995,-1.8666,,,,,,,,
201910,2.06,0.26,-1.92,0.44,-0.96,0.16,0.539638,0.15,2.0588,0.8309,-0.64,0.8606,1.945,,,,,,,,
201911,3.87,0.44,-2.01,-1.59,-1.25,0.12,2.153492,-2.66,3.8643,0.0197,-1.029,-1.2984,-0.6457,,,,,,,,
201912,2.77,0.97,1.76,0,1.23,0.14,-0.319237,-1.77,2.7659,1.2755,1.804,-1.3106,-0.8055,,,,,,,,
202001,-0.11,-4.37,-6.22,-1.18,-2.32,0.13,1.860375,5.98,-0.0927,-4.7408,-2.4131,-0.4183,2.4784,,,,,,,,
202002,-8.13,0.03,-3.79,-1.47,-2.51,0.12,4.246851,-0.4,-8.1294,-1.3645,-2.2233,-0.4449,1.4416,,,,,,,,
202003,-13.39,-8.31,-13.97,-1.5,1.26,0.13,-10.358823,7.97,-13.3787,-8.3933,2.1259,5.8489,11.8307,,,,,,,,
202004,13.65,2.59,-1.23,2.7,-1.01,0,11.756267,-5.23,13.5916,3.3014,-0.1369,-2.1095,-2.2196,,,,,,,,
202005,5.58,1.98,-4.89,0.95,-3.25,0.01,7.106842,0.42,5.5815,2.4767,-3.7098,-0.6147,0.6912,,,,,,,,
202006,2.46,1.97,-2.17,0.09,0.53,0.01,6.245735,-0.73,2.4587,2.2933,0.2533,1.1584,1.7125,,,,,,,,
202007,5.77,-3.2,-1.38,0.41,0.96,0.01,0.165371,7.61,5.7694,-1.4121,-1.2834,3.4213,1.7869,,,,,,,,
202008,7.63,-0.89,-2.95,4.26,-1.2,0.01,4.386601,0.55,7.6269,-2.224,-2.7625,-0.7472,-1.6586,,,,,,,,
202009,-3.63,0.02,-2.68,-1.4,-1.89,0.01,-0.482602,3.14,-3.627,0.2818,-2.2241,1.1241,0.8326,,,,,,,,
202010,-2.1,4.64,4.21,-0.75,-0.76,0.01,4.065628,-3.04,-2.1007,2.8259,-0.6775,-2.5423,0.0772,,,,,,,,
202011,12.47,7.12,2.14,-2.21,1.37,0.01,2.308695,-12.43,12.4689,4.0371,3.294,-14.4379,-9.6046,,,,,,,,
