yyyymm,Mkt_RF,SMB,HML,RMW,CMA,RF,LID,MOM,R_MKT,R_ME,R_IA,R_ROE,R_EG,PEAD,FIN,SMB_SY,MGMT,PERF,HML_Novy,UMD_Novy,PMU_Novy
200105,0.72,3.59,3.38,0.26,1.88,0.32,3.163566,2.21,0.6859,4.3574,2.3801,-2.5149,-0.2513,-0.25,0.55,3.9665275,3.5914819,0.4138382,0.021429087,0.013109073,0.00295644
200106,-1.94,6.57,-1.13,1.6,-1.5,0.28,0.367084,0.38,-1.9318,6.7189,-1.7996,-0.7916,1.9722,3.98,0.05,6.0800626,2.3657515,0.00879,0.002438204,0.003984395,0.019585954
200107,-2.13,-2.83,5.21,7.42,3.06,0.3,3.62647,5.58,-2.1316,-2.1192,1.3768,3.9508,5.5121,-4.31,8.33,-0.5239289,6.8589535,8.4364713,0.024459612,0.027921729,0.041861798
200108,-6.46,2.71,2.3,4.05,6.56,0.31,4.917917,5.53,-6.3876,2.3699,5.641,4.3155,5.6455,2.5,9.1,5.5902703,7.279759,7.0124711,0.03728445,0.03961308,0.030649239
200109,-9.25,-5.73,1.45,5,3.2,0.28,-10.046824,11.48,-9.2406,-4.9253,2.8644,9.1919,5.7667,4.61,5.94,-5.1235538,7.327973,11.8118322,0.01169512,0.075628719,0.016965783
200110,2.46,5.28,-7.66,-2.99,-4.54,0.22,3.490791,-8.47,2.4885,3.4911,-2.9706,-4.3929,-0.5555,-1.93,-9.1,3.1649838,-7.2361958,-4.4823247,-0.02641241,-0.031958837,0.002171667
200111,7.54,-0.31,2.22,-3.72,-1.62,0.17,3.276847,-8.69,7.529,-1.3906,-1.1391,-8.4893,-2.9927,-1.36,-2.7,-1.2185823,-3.111605,-5.2835307,0.003145004,-0.051874798,0.005557151
200112,1.6,5.16,0.85,0.35,-0.27,0.15,6.856494,0.07,1.6088,5.3189,-0.1761,0.5421,-2.257,3.59,0.54,4.6654459,-0.7364704,0.2718812,0.011345345,-0.003759652,-0.003972742
200201,-1.44,1.26,3.44,4.69,2.83,0.14,-1.226756,3.75,-1.4322,0.7237,3.2498,0.3033,4.2877,1.93,8.25,1.2178691,6.0543195,7.4430458,0.027416546,0.033090897,0.036689984
200202,-2.29,-0.36,2.16,8.06,5.11,0.13,3.762029,6.82,-2.292,-0.4922,4.4456,5.3235,3.7643,1.2,11.42,1.4349382,5.593566,6.4442178,0.025256289,0.038507282,0.02554699
200203,4.24,4.25,1.06,-1.78,0.57,0.13,7.804615,-1.64,4.2381,4.6098,0.7761,-4.7001,-0.5528,0.83,-1.52,4.042427,-3.1108685,-4.9959269,0.014014374,-0.006300591,0.002291636
200204,-5.2,6.72,3.88,4.56,5.38,0.15,5.161829,7.63,-5.2055,7.5846,4.0731,5.4639,4.0819,5.51,13.07,7.7352731,4.2548186,5.4168762,0.04187028,0.049071353,0.024922289
200205,-1.38,-3.02,1.53,2.37,2.43,0.14,5.111795,3.16,-1.3564,-3.1795,2.1865,1.8111,0.6156,0.36,5.58,-3.527491,2.8092848,3.0859287,0.007327584,0.028780921,0.011481928
200206,-7.21,3.89,-0.03,3.93,2.49,0.13,-0.931038,6.03,-7.2085,3.5661,3.5485,4.9409,0.5052,-0.96,5.26,3.454329,3.3048869,4.8258735,0.026508249,0.051347214,0.009507383
200207,-8.18,-6.43,-3.85,3.79,-0.99,0.15,-4.545052,3.77,-8.19,-6.3911,1.9786,6.7016,4.9683,-0.51,8.02,-5.944872,4.6799367,3.0826129,0.005126606,0.026620667,0.002391083
